USAF,NCDC,Date,HrMn,I,Type,QCP,Dir,Q,I,Spd,Q,Temp,Q,Dewpt,Q,Slp,Q,RHx,
419920,99999,20121128,1200,4,FM-12,    ,999,9,C,  0.0,1,  22.0,1,  17.0,1,1009.6,1, 73,
419920,99999,20121128,1800,4,FM-12,    ,999,9,C,  0.0,1,  19.0,1,  15.0,1,1011.0,1, 78,
419920,99999,20121129,0600,4,FM-12,    ,360,1,N,  2.6,1,  25.5,1,  15.0,1,1010.3,1, 52,
419920,99999,20121129,1200,4,FM-12,    ,999,9,C,  0.0,1,  22.6,1,  18.0,1,1007.4,1, 75,
419920,99999,20121129,1800,4,FM-12,    ,999,9,C,  0.0,1,  19.3,1,  17.0,1,1010.0,1, 87,
419920,99999,20121130,0000,4,FM-12,    ,999,9,C,  0.0,1,  17.2,1,  16.0,1,1009.5,1, 93,
419920,99999,20121130,0600,4,FM-12,    ,350,1,N,  2.6,1,  27.4,1,  14.0,1,1010.4,1, 44,
419920,99999,20121130,1200,4,FM-12,    ,999,9,C,  0.0,1,  23.0,1,  18.0,1,1008.2,1, 73,
419920,99999,20121130,1800,4,FM-12,    ,999,9,C,  0.0,1,  20.0,1,  18.0,1,1009.9,1, 88,
419920,99999,20121201,0000,4,FM-12,    ,999,9,C,  0.0,1,  20.0,1,  18.0,1,1010.1,1, 88,
419920,99999,20121201,0600,4,FM-12,    ,050,1,N,  2.6,1,  26.5,1,  18.0,1,1011.7,1, 60,
419920,99999,20121201,1200,4,FM-12,    ,020,1,N,  1.0,1,  24.1,1,  20.0,1,1009.6,1, 78,
419920,99999,20121202,0000,4,FM-12,    ,999,9,C,  0.0,1,  19.4,1,  17.0,1,1011.3,1, 86,
419920,99999,20121202,0600,4,FM-12,    ,030,1,N,  4.1,1,  27.4,1,  14.0,1,1013.1,1, 44,
419920,99999,20121202,1800,4,FM-12,    ,999,9,C,  0.0,1,  19.6,1,  15.0,1,1013.1,1, 75,
419920,99999,20121203,0600,4,FM-12,    ,020,1,N,  2.6,1,  27.0,1,  15.0,1,1012.2,1, 48,
419920,99999,20121203,1200,4,FM-12,    ,999,9,C,  0.0,1,  22.6,1,  19.0,1,1011.6,1, 80,
419920,99999,20121204,0000,4,FM-12,    ,999,9,C,  0.0,1,  18.2,1,  16.0,1,1011.0,1, 87,
419920,99999,20121204,0600,4,FM-12,    ,330,1,N,  1.5,1,  27.8,1,  18.0,1,1012.1,1, 55,
419920,99999,20121204,1200,4,FM-12,    ,999,9,C,  0.0,1,  23.5,1,  20.0,1,1010.3,1, 81,
419920,99999,20121204,1800,4,FM-12,    ,999,9,C,  0.0,1,  19.8,1,  19.0,1,1012.0,1, 95,
419920,99999,20121205,0000,4,FM-12,    ,999,9,C,  0.0,1,  19.0,1,  16.0,1,1011.8,1, 83,
419920,99999,20121205,0600,4,FM-12,    ,030,1,N,  3.1,1,  26.7,1,  17.0,1,1012.4,1, 55,
419920,99999,20121205,1200,4,FM-12,    ,999,9,C,  0.0,1,  22.2,1,  19.0,1,1011.2,1, 82,
419920,99999,20121205,1800,4,FM-12,    ,999,9,C,  0.0,1,  19.0,1,  17.0,1,1013.0,1, 88,
419920,99999,20121206,0000,4,FM-12,    ,999,9,C,  0.0,1,  17.0,1,  16.0,1,1012.0,1, 94,
419920,99999,20121206,0600,4,FM-12,    ,360,1,N,  2.6,1,  26.5,1,  13.0,1,1012.7,1, 43,
419920,99999,20121206,1200,4,FM-12,    ,999,9,C,  0.0,1,  20.4,1,  17.0,1,1010.9,1, 81,
419920,99999,20121206,1800,4,FM-12,    ,999,9,C,  0.0,1,  17.5,1,  15.0,1,1012.3,1, 85,
419920,99999,20121207,0000,4,FM-12,    ,999,9,C,  0.0,1,  15.5,1,  15.0,1,1011.7,1, 97,
419920,99999,20121207,0600,4,FM-12,    ,090,1,N,  1.0,1,  26.5,1,  14.0,1,1012.6,1, 46,
419920,99999,20121207,1200,4,FM-12,    ,999,9,C,  0.0,1,  20.3,1,  15.0,1,1010.3,1, 72,
419920,99999,20121208,0000,4,FM-12,    ,999,9,C,  0.0,1,  15.0,1,  14.0,1,1011.8,1, 94,
419920,99999,20121208,0600,4,FM-12,    ,999,9,C,  0.0,1,  26.0,1,  15.0,1,1011.3,1, 51,
419920,99999,20121208,1200,4,FM-12,    ,999,9,C,  0.0,1,  22.0,1,  18.0,1,1009.7,1, 78,
419920,99999,20121208,1800,4,FM-12,    ,999,9,C,  0.0,1,  18.0,1,  17.0,1,1012.1,1, 94,
419920,99999,20121209,0000,4,FM-12,    ,999,9,C,  0.0,1,  15.2,1,  15.0,1,1010.6,1, 99,
419920,99999,20121209,0600,4,FM-12,    ,999,9,C,  0.0,1,  26.8,1,  18.0,1,1011.6,1, 59,
419920,99999,20121209,1200,4,FM-12,    ,999,9,C,  0.0,1,  21.5,1,  20.0,1,1009.3,1, 91,
419920,99999,20121209,1800,4,FM-12,    ,999,9,C,  0.0,1,  17.3,1,  16.0,1,1011.3,1, 92,
419920,99999,20121210,0000,4,FM-12,    ,999,9,C,  0.0,1,  14.6,1, 999.9,9,1011.3,1,999,
419920,99999,20121210,1200,4,FM-12,    ,999,9,C,  0.0,1,  22.0,1,  18.0,1,1009.9,1, 78,
419920,99999,20121210,1800,4,FM-12,    ,999,9,C,  0.0,1,  17.5,1,  17.0,1,1011.7,1, 97,
419920,99999,20121211,0000,4,FM-12,    ,999,9,C,  0.0,1,  16.5,1,  16.0,1,1011.5,1, 97,
419920,99999,20121211,0600,4,FM-12,    ,090,1,N,  2.1,1,  26.0,1,  13.0,1,1012.3,1, 45,
419920,99999,20121211,1800,4,FM-12,    ,999,9,C,  0.0,1,  18.5,1,  18.0,1,1012.1,1, 97,
419920,99999,20121212,0000,4,FM-12,    ,999,9,C,  0.0,1,  15.4,1,  14.0,1,1011.7,1, 91,
419920,99999,20121212,0600,4,FM-12,    ,360,1,N,  2.1,1,  25.2,1,  16.0,1,1013.7,1, 57,
419920,99999,20121212,1200,4,FM-12,    ,999,9,C,  0.0,1,  23.0,1,  20.0,1,1010.9,1, 83,
419920,99999,20121212,1800,4,FM-12,    ,999,9,C,  0.0,1,  19.3,1,  19.0,1,1013.4,1, 98,
419920,99999,20121213,0000,4,FM-12,    ,999,9,C,  0.0,1,  17.0,1,  17.0,1,1011.1,1,100,
419920,99999,20121213,0600,4,FM-12,    ,020,1,N,  3.1,1,  26.8,1,  15.0,1,1014.0,1, 48,
419920,99999,20121213,1200,4,FM-12,    ,360,1,N,  1.0,1,  23.7,1,  21.0,1,1012.5,1, 85,
419920,99999,20121214,0000,4,FM-12,    ,999,9,C,  0.0,1,  17.5,1,  17.0,1,1014.7,1, 97,
419920,99999,20121214,0600,4,FM-12,    ,030,1,N,  2.1,1,  27.5,1,  19.0,1,1016.0,1, 60,
419920,99999,20121214,1800,4,FM-12,    ,999,9,C,  0.0,1,  19.3,1,  17.0,1,1015.8,1, 87,
419920,99999,20121215,1200,4,FM-12,    ,360,1,N,  2.1,1,  25.0,1,  20.0,1,1012.0,1, 74,
419920,99999,20121216,0000,4,FM-12,    ,999,9,C,  0.0,1,  18.0,1,  17.0,1,1014.1,1, 94,
419920,99999,20121216,1200,4,FM-12,    ,360,1,N,  2.6,1,  22.7,1,  17.0,1,1013.3,1, 70,
419920,99999,20121216,1800,4,FM-12,    ,999,9,C,  0.0,1,  19.5,1,  18.0,1,1014.1,1, 91,
419920,99999,20121217,0000,4,FM-12,    ,999,9,C,  0.0,1,  17.8,1,  15.0,1,1013.3,1, 84,
419920,99999,20121217,0600,4,FM-12,    ,360,1,N,  3.1,1,  26.5,1,  15.0,1,1013.7,1, 49,
419920,99999,20121217,1200,4,FM-12,    ,360,1,N,  1.5,1,  22.2,1,  17.0,1,1011.1,1, 72,
419920,99999,20121217,1800,4,FM-12,    ,040,1,N,  1.5,1,  19.0,1,  18.0,1,1014.1,1, 94,
